Activity ID,Date,Name,Type,Distance (km),Moving Time (min),Elapsed Time (min),Total Elevation Gain,Avg HR,Max HR,Avg Power,Max Power,Custom Zone 1 Time (sec),Custom Zone 2 Time (sec),Custom Zone 3 Time (sec),Custom Zone 4 Time (sec),Custom Zone 5 Time (sec),Custom Zone 6 Time (sec)
14931525345,2025-06-27T12:14:21Z,5x 1km,Run,12.1435,51.31666666666667,54.766666666666666,4.3,156.6,173.0,,,106,137,421,1026,1389,0
14933129578,2025-06-26T19:18:18Z,Bijna van de fiets geblazen,Ride,33.4862,66.7,73.35,71.0,116.6,155.0,152.6,475.0,582,1465,1165,790,0,0
14933125128,2025-06-25T19:05:38Z,Mentale pauze bij Vreeland,Ride,61.7678,127.46666666666667,134.81666666666666,89.0,114.6,134.0,158.4,542.0,245,2217,5164,22,0,0
14910724788,2025-06-25T12:51:37Z,Lunch Run,Run,13.863,63.05,65.31666666666666,4.2,147.6,158.0,,,74,150,1578,1982,0,0
14909594512,2025-06-23T17:22:36Z,Afternoon Swim,Swim,3.8,55.55,72.86666666666666,0.0,129.7,158.0,,,989,679,1044,620,0,0
14882881280,2025-06-22T14:14:15Z,Bare Minimum of Princess Treatment,Ride,96.8781,184.93333333333334,251.16666666666666,170.0,126.5,156.0,198.0,580.0,411,1508,5013,4145,18,0
14869550730,2025-06-21T13:22:49Z,Run fun,Run,10.565299999999999,47.05,50.6,4.2,154.9,169.0,,,74,74,447,1312,915,0
14862230341,2025-06-20T18:18:49Z,Wind tegen,Ride,47.819300000000005,85.7,90.08333333333333,108.0,134.9,155.0,240.6,670.0,22,97,1293,3730,0,0
14857158468,2025-06-20T07:15:45Z,Morning Swim,Swim,3.45,51.56666666666667,69.76666666666667,0.0,123.4,154.0,,,1445,524,1043,82,0,0
14842237267,2025-06-18T18:32:27Z,Toetje gescoord,Ride,62.810199999999995,131.83333333333334,147.2,70.0,112.8,127.0,159.0,578.0,415,3009,4486,0,0,0
14940931896,2025-06-28T11:29:55Z,4x10min @ 300-310W + 20min @ 290W,Ride,60.4024,106.4,113.0,91.0,142.6,164.0,239.7,621,34,103,1739,3044,1464,0
14954356235,2025-06-29T17:02:40Z,Fysiek aanwezig maar niemand thuis,Run,8.277,37.25,38.766666666666666,10.0,155.9,166.0,,,19,38,157,1550,470,0
14953784693,2025-06-29T13:55:47Z,Wat is het meervoud van rondje hoep?,Ride,101.606,168.88333333333333,170.01666666666668,103.0,144.4,166.0,206.9,511.0,0,72,1019,6504,2538,0
14950405224,2025-06-29T10:33:54Z,Obstakelbaan,Swim,3.4,52.81666666666667,71.21666666666667,0.0,135.7,160.0,,,640,293,1558,678,0,0
